image_filename,total_spikes,active_neurons,mean_firing_rate,firing_rate_variance,temporal_burstiness,synchrony,response_latency,early_response_strength,late_response_strength,persistent_activity,trial_variance,entropy,left_right_balance,recurrent_fraction,burst_phase,population_0,population_1,population_2,population_3,population_4,population_5,population_6,normalized_total_spikes,normalized_active_neurons,normalized_mean_firing_rate,normalized_firing_rate_variance,normalized_temporal_burstiness,normalized_synchrony,normalized_response_latency,normalized_early_response_strength,normalized_late_response_strength,normalized_persistent_activity,normalized_trial_variance,normalized_entropy,normalized_left_right_balance,normalized_recurrent_fraction,normalized_burst_phase,normalized_population_0,normalized_population_1,normalized_population_2,normalized_population_3,normalized_population_4,normalized_population_5,normalized_population_6
01.png,460291,9949,3.32006866754665,261.01504824000665,0.27103361322867137,676.2523520555476,0.0,273064.0,502584.0,1.044266923895246,0.007540932627331262,0.7500681098834912,0.05396449704142012,0.9050557147543619,0.6530612244897959,59013,56522,58618,60707,59077,64050,58602,0.8294292821357251,0.5065359477124183,0.829429282135725,0.7865014304106365,0.15063949204687888,0.11407978751999767,0.5,0.6762081423825804,0.8223880597014925,0.1157072616749553,0.11772331785547255,0.9295624610524527,0.9163390755849253,0.41470746848104945,0.7083333333333333,0.7978377296160969,0.8004941646514562,0.7905480140774258,0.791813656792152,0.8005929946228454,0.7997702733746841,0.7919236124925403
02.png,374176,9814,2.698923102445921,174.38742164339902,0.40432242076766056,1223.3805548191228,0.0,184504.0,499460.0,1.290266256164657,0.06405156681111211,0.7490848717793408,0.04465967177831585,0.8961932352689643,0.673469387755102,47595,45527,47215,48847,47445,51503,47202,0.22602389377430543,0.06535947712418301,0.22602389377430557,0.20167252884967024,0.5589494082046834,0.4274684025064834,0.5,0.40778594117504424,0.4338308457711443,0.7140686811633661,1.0,0.39675171423134264,0.8885821146216377,0.1821955973383659,0.7499999999999999,0.22633765453726412,0.22247923457049731,0.21724484665661137,0.21867298120137244,0.2160410070857832,0.22329427980702962,0.22498508056494929
03.png,473160,9976,3.412892476143077,279.2526330685315,0.2738222460352933,709.5376997210245,0.0,335416.0,500200.0,1.0165553583002227,0.0003909888566852638,0.7493712415043625,0.009384487993375655,0.9147709020204582,0.3673469387755102,61274,58672,61026,63128,61175,66564,60994,0.919602003993974,0.5947712418300654,0.9196020039939741,0.9096245854759147,0.15918204298187502,0.13314524411963677,0.5,0.865194830387236,0.5258706467661691,0.04830247820373529,0.006094263278413642,0.5519337260062295,0.7833537119804977,0.669590582564817,0.12500000000000003,0.911006556884729,0.9135211859951635,0.9116138763197587,0.9088097424249746,0.9060254284134881,0.9152768205835057,0.9108812412969962
04.png,470005,9875,3.3901355318489026,277.20348783064907,0.2506892567442843,590.7502569121605,0.0,331168.0,496712.0,1.0147835306716597,0.0021951748466425597,0.7487948051100975,0.024331227315499394,0.9188008638205977,0.30612244897959184,61171,58621,60889,63028,60950,66452,60730,0.8974950075324948,0.2647058823529412,0.8974950075324948,0.895790668910358,0.08831766140108589,0.06510519063377643,0.5,0.8523192939065493,0.09203980099502487,0.043992737664461636,0.034262257713132335,0.23956635087425437,0.8279409071358657,0.7753187775161126,0.0,0.9058511437008859,0.9108400799074755,0.9047259929612871,0.9039771903542261,0.8947183275541485,0.91013094417643,0.8977521384523572
05.png,482862,9968,3.482872784714258,289.1456594567712,0.26090893256716274,657.4018479814109,0.0,363088.0,503656.0,1.0028676240140386,6.456800878945233e-07,0.7497288647522382,-0.08821349147516679,0.9126810558710357,0.5306122448979592,62358,59762,62108,64261,62521,67698,61991,0.9875836457274989,0.5686274509803921,0.9875836457274989,0.97641306835436,0.11962407831218953,0.1032824399627862,0.5,0.9490676753715962,0.9557213930348258,0.015008842641783328,0.0,0.7457275883239392,0.49221194095272996,0.6147623553849185,0.4583333333333334,0.9652635267030382,0.970823257281043,0.9660130718954248,0.9635625573865558,0.9736670184431379,0.9673788192051459,0.9604634971155759
06.png,479635,9958,3.4595965060336558,284.69487972236203,0.2657677544727247,677.5563762027374,0.0,348408.0,503148.0,1.00283201462223,0.0004525161039773251,0.7497481837947186,0.08038740920096853,0.9089349192615218,0.5102040816326531,61823,59128,61483,63544,61619,67051,61309,0.9649721472865501,0.5359477124183006,0.96497214728655,0.946365556660599,0.13450833754982572,0.11482671725115128,0.5,0.9045731189835358,0.8925373134328358,0.014922227422005559,0.007054862223840197,0.7561964599110094,0.9951605172144787,0.5164804655290007,0.4166666666666667,0.9384854096801641,0.9374934286615498,0.9345902463549522,0.9289131590392886,0.928338107442585,0.9376521938892718,0.9265466481002586
07.png,449980,9855,3.245695655623598,253.4989279270804,0.3217006199835427,931.3802035646029,0.0,249936.0,498992.0,1.068758611493844,0.0025623871898491973,0.7490140677396295,0.041550511084561266,0.913511711631628,0.5918367346938775,58138,55665,58031,59895,58218,63309,57806,0.7571803944925201,0.19934640522875818,0.7571803944925201,0.7357595994347332,0.30585013322541066,0.2602140274020722,0.5,0.606107999321064,0.3756218905472637,0.1752801101943744,0.03999538905179737,0.35838343586898946,0.8793072653294819,0.6365550518294079,0.5833333333333333,0.7540417438310226,0.7554410682367785,0.7610356963298139,0.7525733339776736,0.7574249962309664,0.7657247875028715,0.7523373781579471
08.png,341919,10012,2.46625408434856,144.51473156711765,0.5340475166568505,1950.3521353887907,0.0,73856.0,500876.0,1.4078188108879588,0.04220458495708663,0.7499757423686507,-0.25321520434409833,0.8892486232119303,0.6122448979591837,43073,41295,42894,44322,43146,46643,42678,0.0,0.7124183006535948,0.0,0.0,0.9563424377025596,0.8438691941646537,0.5,0.07241579981086782,0.609950248756219,1.0,0.658912292465947,0.8795090667053456,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09.png,480291,9794,3.4643282193322227,292.16075804938515,0.2347344317648055,529.2831166521963,0.0,379892.0,495972.0,0.9985057669898736,0.0001352189183701861,0.748352714243768,-0.15486725663716813,0.9273648683818768,0.7959183673469388,63052,60317,62784,65015,63045,68406,62786,0.9695687208772729,0.0,0.969568720877273,0.9967682006290502,0.039442490484894566,0.029897533898204747,0.5,1.0,0.0,0.004399192052461706,0.0021010351749197343,0.0,0.2933789800594278,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999081093498736,1.0
10.png,484634,9995,3.4956541810024597,292.63946747772314,0.22185881372307345,477.0866321388925,0.0,378160.0,502348.0,0.9966971639078839,0.0012062676652555113,0.749628671465793,-0.14249790444258173,0.9173293660783189,0.40816326530612246,63041,60182,62700,64895,62872,68408,62471,1.0,0.6568627450980392,1.0,1.0,0.0,0.0,0.5,0.9947503697776484,0.7930348258706468,0.0,0.018822867241852236,0.6914334559546041,0.33027764460154396,0.7367132502476774,0.20833333333333334,0.9994494218929877,0.9929029544737672,0.9957767722473605,0.9942009375151017,0.9913060957837078,1.0,0.9843345931967377
