image_filename,total_spikes,active_neurons,mean_firing_rate,firing_rate_variance,temporal_burstiness,synchrony,response_latency,early_response_strength,late_response_strength,persistent_activity,trial_variance,entropy,left_right_balance,recurrent_fraction,burst_phase,population_0,population_1,population_2,population_3,population_4,population_5,population_6,normalized_total_spikes,normalized_active_neurons,normalized_mean_firing_rate,normalized_firing_rate_variance,normalized_temporal_burstiness,normalized_synchrony,normalized_response_latency,normalized_early_response_strength,normalized_late_response_strength,normalized_persistent_activity,normalized_trial_variance,normalized_entropy,normalized_left_right_balance,normalized_recurrent_fraction,normalized_burst_phase,normalized_population_0,normalized_population_1,normalized_population_2,normalized_population_3,normalized_population_4,normalized_population_5,normalized_population_6
01.png,444961,9836,3.2094937211030086,251.7871700197223,0.283934480943775,717.4443436166317,0.0,254428.0,494784.0,1.0759145183510466,0.00812206592882074,0.7482438084652207,0.0764364786505008,0.9321311305934677,0.7346938775510204,58824,56085,58492,60507,58649,63788,58417,0.47978316690442224,0.22857142857142856,0.479783166904422,0.4720205484084078,0.6529542036774513,0.6479536565581019,0.5,0.21991933676898948,0.0211952744961779,0.4330303891538137,0.16549687014096534,0.2029940407212442,1.0,1.0,0.8888888888888891,0.5292520365341891,0.5245132127955494,0.5277985539765645,0.5304596787020837,0.5202945990180032,0.5272905217194911,0.536639526276832
02.png,464864,9991,3.353053614062421,270.8243429680861,0.3005255777180498,839.6896341295518,0.0,303312.0,500128.0,1.034639521809963,0.0005092126062760801,0.7492371207547328,-0.04650832029583274,0.9193441522681902,0.673469387755102,60624,57840,60295,62402,60478,65704,60027,0.7069215406562054,0.7821428571428571,0.7069215406562049,0.6589147333388496,0.769121749843426,0.8675318527592195,0.5,0.44811038912540146,0.485406532314107,0.24086008562728692,0.010375558237090026,0.5853338425933429,0.5504773920069528,0.5637451177124543,0.7777777777777778,0.6773636139224882,0.6770688456189151,0.6776364996260285,0.6811674884682678,0.6699672667757774,0.6715350447940978,0.6690517312278971
03.png,455572,9832,3.286030626302844,264.64491561186935,0.2683184608274769,655.9762679005732,0.0,291620.0,496564.0,1.0533570983291336,0.004961641555212897,0.748002649603671,-0.13523131672597866,0.9319273353059451,0.5918367346938775,60190,57417,59970,61893,60065,65382,59643,0.6008787446504993,0.21428571428571427,0.600878744650499,0.5982492636176079,0.543613949535745,0.5375440928599459,0.5,0.3935320038837852,0.17581653926337734,0.3280063645467706,0.10109931061420932,0.11016861983586507,0.22607983240261123,0.9930470915874464,0.6296296296296297,0.6416522669299761,0.6402990264255911,0.6506274412033575,0.6406871321775092,0.6361702127659574,0.647293533087405,0.6374701866929846
04.png,402920,10011,2.906252930272146,203.70682541950498,0.33349970446727173,896.2717909262385,0.0,232980.0,497780.0,1.1976901949104868,0.04907678612070533,0.7491519036260148,-0.18364837866912556,0.9167775240742579,0.7959183673469388,52392,50051,52141,53837,52291,56784,51892,0.0,0.8535714285714285,0.0,0.0,1.0,0.9691652807175108,0.5,0.11979983568601091,0.28144544822793605,1.0,1.0,0.5525325771160441,0.04905271012845356,0.476179153953341,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05.png,470497,9804,3.3936843168228275,279.9542892691652,0.27678299314024796,720.8844494651399,0.0,340024.0,497948.0,1.0256813539725016,1.5128241969690716e-07,0.7485971945463781,-0.090282131661442,0.9280569270367293,0.2653061224489796,61893,58994,61657,63650,61824,67178,61452,0.7712068473609129,0.11428571428571428,0.7712068473609124,0.7485464174669035,0.6028809143178366,0.654132808603853,0.5,0.6194824109343491,0.296038915913829,0.19915217583611244,2.8034958059049635e-06,0.3390172890799702,0.3904273694317506,0.8609999056972772,0.037037037037037084,0.7817822759812392,0.7773817802503477,0.7908252306158066,0.7804199141084778,0.780114566284779,0.782503952420387,0.7862488691504236
06.png,458870,9800,3.309819026392285,268.5184785187384,0.3016561327668999,835.1105672630592,0.0,300976.0,496564.0,1.048023768532845,0.0005364432201670027,0.7478271083513325,-0.19706433479075577,0.927920761871554,0.3469387755102041,60281,57611,59940,62232,60376,65487,59868,0.6385164051355207,0.1,0.6385164051355202,0.6362773040319963,0.77703767050963,0.8593068877024064,0.5,0.4372059153036074,0.17581653926337734,0.3031751666873187,0.010930415709281003,0.04260033506969144,0.0,0.8563543423285058,0.1851851851851852,0.6491401300090512,0.6571627260083449,0.648134297348957,0.6676475266422777,0.661620294599018,0.6551983738613265,0.6559749979439099
07.png,471930,10003,3.404020513708264,274.53499086812263,0.29310171776771105,810.8570720233932,0.0,309888.0,506052.0,1.0272003616355534,0.0007344900509173161,0.7499794942584512,0.015930051503174034,0.9028203335240396,0.46938775510204084,60489,57639,60161,62101,60231,65513,59934,0.7875606276747503,0.825,0.7875606276747501,0.6953433835760575,0.7171413651079267,0.8157425204048752,0.5,0.4788072298155202,1.0,0.2062244517447786,0.014965865087166104,0.8710837938661657,0.7787705770011447,0.0,0.4074074074074075,0.6662552456183658,0.6595966620305981,0.6665004570763733,0.6572292031175442,0.6497545008183306,0.6571557630053452,0.6614030759108479
08.png,439717,9839,3.1716688666248314,245.12108628145282,0.3222834406838134,913.4383369758277,0.0,225076.0,495700.0,1.0991615061505469,0.005830227882307278,0.7484272030821757,0.008633327903567356,0.9257863580439237,0.5714285714285714,57744,55079,57589,59358,57530,62572,57212,0.41993723252496434,0.2392857142857143,0.419937232524964,0.406577413005836,0.9214659610150098,1.0,0.5,0.08290387631637912,0.10076441973592773,0.5412649397505844,0.11879783242358687,0.2735851954379938,0.7520915938281244,0.7835346294228975,0.5925925925925926,0.4403850901012096,0.4370653685674548,0.45275492395911243,0.4390806425958327,0.42872340425531913,0.4357449371376948,0.43753598157743234
09.png,480136,9949,3.463210207805884,293.5578019436444,0.23105779566658158,512.6671819651099,0.0,383280.0,496416.0,1.0092140560174618,0.0001760152612496223,0.7480831550796544,-0.1918614427442408,0.9300302414315944,0.5918367346938775,63229,60407,62997,65165,63169,68689,62885,0.8812097004279601,0.6321428571428571,0.8812097004279594,0.8820965732796257,0.2827222134954413,0.2801308996243815,0.5,0.8214018970796922,0.1629603891591383,0.12248286241456184,0.0035862498012727137,0.14115630423491604,0.019023314706274056,0.9283237109896061,0.6296296296296297,0.8917139800872212,0.9002086230876217,0.9021856561123577,0.9009066327342135,0.8901800327332242,0.8962583753670105,0.9041039559174274
10.png,475334,10041,3.428573489422168,288.08145218141357,0.2253483399225772,482.76702882604644,0.0,364896.0,496620.0,1.0085539851977767,0.0013093601947621765,0.7481278932510806,-0.16390703326750722,0.9300786394408984,0.4489795918367347,62647,59906,62260,64570,62528,67966,62221,0.8264079885877318,0.9607142857142857,0.8264079885877312,0.8283334474214811,0.2427457446249431,0.22642394972990815,0.5,0.7355851818657106,0.18068102849200834,0.1194096699155235,0.02667955601347137,0.15837665253810018,0.12123291739448591,0.929974911712308,0.3703703703703704,0.8438245700650046,0.8566585535465925,0.8409374220892546,0.8535867663432479,0.8377250409165303,0.841827900323722,0.849494201825808
11.png,472859,10052,3.410721369888704,274.6036880225318,0.3027577390534068,866.8663838057432,0.0,311708.0,504092.0,1.017850987292195,0.00014495027670016617,0.750314416365025,-0.12592239942870745,0.9046290754749302,0.24489795918367346,60583,57947,60271,62488,60491,65773,60209,0.7981626248216833,1.0,0.798162624821683,0.6960178061237313,0.7847508977233332,0.9163469984999605,0.5,0.48730300993352754,0.8297428769979153,0.16269514209219113,0.0029532622795882014,1.0,0.2601159918572909,0.06170906736539092,0.0,0.6739899613264214,0.6863699582753825,0.6756419845425081,0.6880069985684746,0.6710310965630114,0.6767296544455319,0.6840200674397565
12.png,490545,9870,3.538290091532686,305.5675278027763,0.19067929272705805,356.710516874089,0.0,421540.0,497392.0,0.9829067669632756,5.23719807135083e-07,0.7482170581817367,-0.06072874493927125,0.9281798815603054,0.7755102040816326,64545,61555,64174,66411,64511,70067,64051,1.0,0.35,1.0,1.0,0.0,0.0,0.5,1.0,0.2477414871438499,0.0,1.0392368688871614e-05,0.19269748223175864,0.49848330663472473,0.8651947600127329,0.9629629629629629,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13.png,473010,9890,3.411810529504685,280.9696514071725,0.26134216935660154,646.129100864675,0.0,337188.0,498568.0,1.0173005503759611,0.0010072481230954892,0.748884087315888,-0.09770195967855633,0.9188960064269255,0.6530612244897959,61591,58857,61307,63434,61481,66873,61104,0.799885877318117,0.42142857142857143,0.7998858773181169,0.7585145613560629,0.49476734990848004,0.5198565143335149,0.5,0.60624393158563,0.3498957609451008,0.16013238889705544,0.020523648508968255,0.4494463311960384,0.36329828003798914,0.5484556719766998,0.7407407407407407,0.756932444663869,0.7654728789986092,0.7617385523144685,0.7632416096707492,0.7520458265139116,0.759542272077091,0.7576280944156591
14.png,478512,9921,3.451496332200896,286.98048591728076,0.26850797466579124,689.9811188016183,0.0,352848.0,501572.0,1.0053666365733775,1.3695894036596317e-08,0.748791358097047,-0.08064516129032258,0.9163239375397064,0.7346938775510204,62207,59382,61851,63997,61998,67373,61664,0.862676176890157,0.5321428571428571,0.8626761768901565,0.8175248996854738,0.5449408875833615,0.5986239413482626,0.5,0.6793449846889238,0.6108408617095205,0.10456984426015425,0.0,0.41375355709694905,0.4256629881118731,0.4607040874282951,0.8888888888888891,0.8076195178145313,0.8111091794158554,0.8069475608742624,0.80801654207094,0.7943535188216039,0.797184371000527,0.8036845135290731
15.png,428030,9772,3.087370797538932,234.44397808357974,0.3235299452307808,896.051916921711,0.0,207316.0,494540.0,1.121229820339696,0.012263325764026261,0.747716433406807,-0.02,0.9306170128262038,0.673469387755102,56432,53784,56175,58202,56375,61338,56026,0.2865620542082739,0.0,0.2865620542082738,0.3017567319378975,0.9301937369104801,0.9687703408625433,0.5,0.0,0.0,0.6440117596522251,0.24988016656801118,0.0,0.6473996642382429,0.9483426614541569,0.7777777777777778,0.3324282070270715,0.32449582753824757,0.335244743621707,0.3471449021790997,0.3342062193126023,0.3428442369946548,0.3399950653836664
